"member_type","name","nationality","gender","professional_title","professional_profile","group_name","subgroup_name","group_code","group_status","group_status_note","group_uri","uri","membership_status","interest_represented","subgroup_status"
"Individual expert appointed in his/her personal capacity","Klaus Trutzel","Germany","male","Adviser","Statistics","Urban Audit",,"E00021","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=21","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9614","Member",,
"Individual expert appointed in his/her personal capacity","Clark ANDREW","United Kingdom","male",,"Agriculture","Expert Group on Agriculture and Climate Change ",,"E00118","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=118","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=36056","Member",,
"Individual expert appointed in his/her personal capacity","Tiagos DOMINGOS","Portugal","male",,"Agriculture","Expert Group on Agriculture and Climate Change ",,"E00118","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=118","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=36055","Member",,
"Individual expert appointed as representative of an interest","Gail MCDONALD","United Kingdom","female",,"Agriculture","Expert Group on Agriculture and Climate Change ",,"E00118","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=118","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=36083","Member","Agriculture",
"Individual expert appointed in his/her personal capacity","M. Arturo CERT","Spain","male",,,"Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9615","Member",,
"Individual expert appointed in his/her personal capacity","M. Carlo MARIANI","Italy","female",,,"Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9616","Member",,
"Individual expert appointed in his/her personal capacity","M. Lanfranco CONTE","Italy","male",,"Agriculture","Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=22916","Member",,
"Individual expert appointed in his/her personal capacity","Mme Florence LACOSTE","France","female",,,"Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9618","Member",,
"Individual expert appointed in his/her personal capacity","Mme Mercedes FERNANDEZ ALBALADEJO","Spain","female",,"Agriculture","Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=22919","Member",,
"Individual expert appointed in his/her personal capacity","M. Wenceslao MOREDA","Spain","male",,,"Groupe d'experts pour l'huile d'olive ",,"E00124","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9617","Member",,
"Individual expert appointed in his/her personal capacity","Giuseppe de Arcangelis","Italy","male","Professor - Politics","Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9619","Member",,
"Individual expert appointed in his/her personal capacity","John Greenfield","Portugal","male","Academic expert - Life Sciences","Education","Erasmus Mundus",,"E00207","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=207","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=9620","Member",,
