"member_type","name","acronym","rest_of_name","policy_area","group_name","subgroup_name","group_code","group_status","group_status_note","group_uri","uri","category","countries_areas_represented","membership_status","representatives","subgroup_status","m_name"
"Organisation","BUSINESS EUROPE",,,,"Social partners and the activities of the Fund structural",,"E00003","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12597","Trade Union","European","Member",,,
"Organisation","CEEP  (Centre européen des entreprises à participation publique et des entreprises d'intérêt économique général)","CEEP","Centre européen des entreprises à participation publique et des entreprises d'intérêt économique général",,"Social partners and the activities of the Fund structural",,"E00003","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12598","Trade Union","European","Member",,,
"Organisation","CES  (Confédération Européenne des Syndicats)","CES","Confédération Européenne des Syndicats",,"Social partners and the activities of the Fund structural",,"E00003","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12599","Trade Union","European","Member",,,
"Organisation","COPA-COGECA (Comité des Organisations Professionnelles Agricoles de l'Union Européenne - Confédération Générale des Coopératives Agricoles de l’Union Européenne)","COPA-COGECA","Comité des Organisations Professionnelles Agricoles de l'Union Européenne - Confédération Générale des Coopératives Agricoles de l’Union Européenne",,"Social partners and the activities of the Fund structural",,"E00003","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12600","Trade Union","European","Member",,,
"Organisation","EUROCHAMBRES (Association of European Chambers of Commerce and Industry)","EUROCHAMBRES","Association of European Chambers of Commerce and Industry",,"Social partners and the activities of the Fund structural",,"E00003","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12601","Trade Union","European","Member",,,
"Organisation","EUROPECHE (Association des Organisations Nationales d’Entreprises de Pêche de l’U.E)","EUROPECHE","Association des Organisations Nationales d’Entreprises de Pêche de l’U.E",,"Social partners and the activities of the Fund structural",,"E00003","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12602","Trade Union","European","Member",,,
"Organisation","SOCIAL ECONOMY EUROPE",,,,"Social partners and the activities of the Fund structural",,"E00003","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12603","Trade Union","European","Member",,,
"Organisation","UEAPME (Union Européenne de l’Artisanat et des petites et moyennes entreprises)","UEAPME","Union Européenne de l’Artisanat et des petites et moyennes entreprises",,"Social partners and the activities of the Fund structural",,"E00003","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12604","Trade Union","European","Member",,,
"Organisation","BIRDLIFE","BIRDLIFE",,"Environment","Groupe consultatif ""Qualité de la production agricole""",,"E00087","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=87","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12605","NGO","European","Member","Representative may vary
female",,
"Organisation","Bureau Européen de l'Environnement / European Environmental Bureau (BEE/EEB)","BEE/EEB","Bureau Européen de l'Environnement / European Environmental Bureau","Environment","Groupe consultatif ""Qualité de la production agricole""",,"E00087","Active","Group which operates on a permanent basis","http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=87","http://ec.europa.eu/transparency/regexpert/detailMember.cfm?memberID=12606","NGO","European","Member","Representative may vary
male",,
