"uri","name","en_name","code","status","status_note","policy_area","lead_dg","associated_dg","group_type","scope","mission","task","composition","active_since","last_updated","creating_act","abbreviation","link_to_website"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=3","Social partners and the activities of the Fund structural","Social partners and the activities of the Fund structural","E00003","Active","Group which operates on a permanent basis","Regional Policy","REGIO - Regional Policy DG","AGRI - Agriculture and Rural Development DG
EMPL - Employment, Social Affairs and Equal Opportunities DG
MARE - Maritime Affairs and Fisheries DG
AGRI - Agriculture and Rural Development DG","Informal, Permanent","Limited","Each year, the Commission consults the European-level organisations representing the social partners about the structural policy of the Community, as stated in the Council Regulation (EC) No 1260/1999 pf 21.6.1999.","Coordinates with Member States, exchange of views","Trade Union","25/01/06","14 Dec 2010",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=13","Information des États membres sur l'égalité des chances","Member States' information on Equal Opportunities","E00013","Active","Group which operates on a permanent basis","Regional Policy","REGIO - Regional Policy DG",,"Formal, Permanent","Limited","Égalité des chances pour tous , échange des ""best practices"" sur le plan économique pour les ethnies minoritaires et les décapacités.","Coordinates with Member States, exchange of views","National Administrations","26/10/05","15 Dec 2010","-",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=21","Urban Audit","Urban Audit","E00021","Active","Group which operates on a permanent basis","Regional Policy
Statistics","REGIO - Regional Policy DG
ESTAT - Eurostat",,"Informal, Temporary","Limited","Meeting with representatives of national statistical offices, who collect data on more than 300 European cities, and with Eurostat, which coordinates the whole process.","Coordinates with Member States, exchange of views","National Administrations
Statistics","26/10/05","18 Apr 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=28","Evaluation and monitoring - exchange of experience","Evaluation and monitoring - exchange of experience","E00028","Active","Group which operates on a permanent basis","Regional Policy","REGIO - Regional Policy DG",,"Informal, Temporary","Limited","Evaluation and monitoring of programmes.","Provides expertise to the Commission when drafting of implementing measures, i.e. before the Commission submits these draft measures to a comitology committee","National Administrations","27/10/05","15 Dec 2010",,"Eval",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=85","Directors General in public services","Directors General in public services","E00085","Active","Group which operates on a permanent basis","Administration","HR - Human Resources and Security DG",,"Informal, Permanent","Limited","To exchange good practice in the field of public administration with focus on the themes covered by the sub-groups.","Coordinates with Member States, exchange of views","National Administrations","24/10/05","04 Apr 2011",,"EUPAN",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=86","Commission Security Policy Advisory Group ","Commission Security Policy Advisory Group","E00086","Active","Group which operates on a permanent basis","Administration","HR - Human Resources and Security DG",,"Informal, Permanent","Limited","To advise the Member of the Commission responsible for security matters on all security issues.","Coordinates with Member States, exchange of views","National Administrations","26/10/05","01 Dec 2010",,"CSPAG",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=87","Groupe consultatif ""Qualité de la production agricole""","Advisory Group on Quality of Agricultural Production","E00087","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Assist the Commission in the preparation of legislation or in policy definition","NGO (Environment,Agriculture,Livestock,External trade,Labour interests,Consumer affairs,Information society,Industry)","17/01/06","12 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=88","Groupe consultatif ""Agriculture biologique""","Advisory Group on Organic Agriculture ""","E00088","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Assist the Commission in the preparation of legislation or in policy definition","NGO (Livestock,Agriculture,Environment,External trade,Consumer affairs, External trade,Livestock, Food safety, Labour interests, Consumer affairs, Industry,Labour interests, Environment,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=89","Groupe consultatif ""Promotion des produits agricoles""","Advisory Group on Promotion of Agricultural Products","E00089","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,Consumer affairs, Industry,External trade,Consumer affairs, External trade,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=90","Groupe consultatif ""Politique agricole commune""","Advisory Group on Common Agricultural Policy ""","E00090","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,Environment,External trade,Labour interests,Consumer affairs,Industry,Livestock)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=91","Groupe consultatif ""Céréales, oléagineux et protéagineux""","Advisory Group on Cereals, oilseeds and protein crops ""","E00091","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Environment,Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
